,Original,Simplified,Model,Adequacy,Fluency,Simplicity
993,On 12 July 1998 the applicant lodged with the Highest Court of the Autonomous Republic of Crimea (hereinafter the “HCARC”) an appeal against the decision of 5 June 1998 together with a request for the composition of the first instance court to be changed. In January 1999 the applicant was informed that the HCARC had only received the request but not the appeal.,On 12 July 1998 the. Mother lodged with the Highest Court of the Autonomous Republic of Crimea (called the âHCARCâ) an appeal against the decision of 5 June 1998 together with a request for the composition of the first instance court to be changed. In January 1999 the mother was informed that the HCARC had only received the request but not the,M7,,,
994,"On 16 October 2000 the applicant was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.","On 16 October 2000 the applicant was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.",M1,,,
995,"On 16 October 2000 the applicant was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.","On 16 October 2000 the defendant was acquitted on the first count , which related to the last page , and convicted him on the two other counts . On 6 November 2000 he was convicted to thirty months prison .",M2,,,
996,"On 16 October 2000 the applicant was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.","On 16 October 2000 the defendant was convicted on the first count , which related to the preview page , and acquitted him on the two other counts . On 6 November 2000 he was sentenced to thirty months imprisonment .",M3,,,
997,"On 16 October 2000 the applicant was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.","On 16 October 2000 he was found guilty on the first count, which was about the preview page. On 6 November 2000 he was found guilty on the two other counts and was sentenced to thirty months in prison.",M4,,,
998,"On 16 October 2000 the applicant was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.","On 16 October 2000 the applicant was convicted on the first count , which related to the preview page , and acquitted him on the two other counts . On 6 November 2000 he was sentenced to thirty months imprisonment .",M5,,,
999,"On 16 October 2000 the applicant was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.","On 16 October 2000 the father was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.",M6,,,
1000,"On 16 October 2000 the applicant was convicted on the first count, which related to the preview page, and acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.","On 16 October 2000 the father was convicted on the first count,. Related on the first count to the preview page, acquitted him on the two other counts. On 6 November 2000 he was sentenced to thirty months imprisonment.",M7,,,
1001,(b) The superiors in the hierarchy competent to carry out assessment and draw up assessment reports for officers are the following:,(b) The superiors in the hierarchy competent to carry out assessment and draw up assessment reports for officers are the following:,M1,,,
1002,(b) The superiors in the hierarchy competent to carry out assessment and draw up assessment reports for officers are the following:,( b ) The officers in the department appointed to carry out research and draw up training reports for officers are the following :,M2,,,
1003,(b) The superiors in the hierarchy competent to carry out assessment and draw up assessment reports for officers are the following:,( b ) The superiors in the department competent to carry out assessment and draw up assessment reports for officers are the following :,M3,,,
1004,(b) The superiors in the hierarchy competent to carry out assessment and draw up assessment reports for officers are the following:,(b) The following people are responsible for assessment of officers and drawing up assessment reports for officers:,M4,,,
1005,(b) The superiors in the hierarchy competent to carry out assessment and draw up assessment reports for officers are the following:,( b ) The superiors in the hierarchy competent to carry out assessment and draw up assessment reports for officers are the following :,M5,,,
1006,(b) The superiors in the hierarchy competent to carry out assessment and draw up assessment reports for officers are the following:,(b) The superiors in the body competent to carry out assessment and draw up assessment reports for officers are the following:,M6,,,
1007,(b) The superiors in the hierarchy competent to carry out assessment and draw up assessment reports for officers are the following:,(b) The superiors in the body competent to carry out assessment draw up assessment. Reports for officers are the following:,M7,,,
1008,"“No writ of summons for service out of Cyprus of which notice is to be given out of Cyprus, shall be sealed without the leave of the Court or a Judge.”","“No writ of summons for service out of Cyprus of which notice is to be given out of Cyprus, shall be sealed without the leave of the Court or a Judge.”",M1,,,
1009,"“No writ of summons for service out of Cyprus of which notice is to be given out of Cyprus, shall be sealed without the leave of the Court or a Judge.”","“ No letter of return for service out of Cyprus of which notice is to be given out of Cyprus , shall be sealed without the leave of the Court or a Judge . ”",M2,,,
1010,"“No writ of summons for service out of Cyprus of which notice is to be given out of Cyprus, shall be sealed without the leave of the Court or a Judge.”","“ No letter of summons for service out of Cyprus of which it is to be given out of Cyprus , shall be sealed without the leave of the Court or a Judge . ”",M3,,,
1011,"“No writ of summons for service out of Cyprus of which notice is to be given out of Cyprus, shall be sealed without the leave of the Court or a Judge.”",No writ of summons for service shall be sealed without the leave of the court or a Judge without notice to be given out of Cyprus.,M4,,,
1012,"“No writ of summons for service out of Cyprus of which notice is to be given out of Cyprus, shall be sealed without the leave of the Court or a Judge.”","“ No writ of summons for service out of Cyprus of which notice is to be given out of Cyprus , shall be sealed without the leave of the Court or a Judge . ”",M5,,,
1013,"“No writ of summons for service out of Cyprus of which notice is to be given out of Cyprus, shall be sealed without the leave of the Court or a Judge.”","âNo kind of summons for service out of Cyprus of which time is to be given out of Cyprus, shall be sealed without the leave of the Court or a Judge.â",M6,,,
1014,"“No writ of summons for service out of Cyprus of which notice is to be given out of Cyprus, shall be sealed without the leave of the Court or a Judge.”","Âno. Kind of summons for service out of Cyprus of which time to be given out of Cyprus, shall be sealed without the leave of the Court or a.",M7,,,
1015,"(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall fix appropriate compensation for the applicant in respect of the violation found concerning his constitutional rights ... The compensation shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment.","(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall fix appropriate compensation for the applicant in respect of the violation found concerning his constitutional rights ... The compensation shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment.",M1,,,
1016,"(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall fix appropriate compensation for the applicant in respect of the violation found concerning his constitutional rights ... The compensation shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment.","( 3 ) In a case under section 2 of this section , the supreme Court shall fix the damages for the party in light of the facts found in his legal rights and The payment will be paid from the State government within a term of three months from the date when the party made a request for its withdrawal .",M2,,,
1017,"(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall fix appropriate compensation for the applicant in respect of the violation found concerning his constitutional rights ... The compensation shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment.","( 3 ) In a decision under paragraph 2 of this Article , the Constitutional Court shall fix appropriate damages for the party in respect of the violation found concerning his legal rights ... The payment shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment .",M3,,,
1018,"(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall fix appropriate compensation for the applicant in respect of the violation found concerning his constitutional rights ... The compensation shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment.","(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall determine the appropriate compensation for the applicant in respect of the violation of his constitutional rights. The compensation shall be paid within a term of three months from the date of the party's request for the payment.",M4,,,
1019,"(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall fix appropriate compensation for the applicant in respect of the violation found concerning his constitutional rights ... The compensation shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment.","( 3 ) In a decision under paragraph 2 of this Article , the Constitutional Court shall fix appropriate compensation for the applicant in respect of the violation found concerning his constitutional rights ... The compensation shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment .",M5,,,
1020,"(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall fix appropriate compensation for the applicant in respect of the violation found concerning his constitutional rights ... The compensation shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment.","(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall fix appropriate right for the person in respect of the violation found concerning his other rights ... The right shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment.",M6,,,
1021,"(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall fix appropriate compensation for the applicant in respect of the violation found concerning his constitutional rights ... The compensation shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment.","(3) In a decision under paragraph 2 of this Article, the Constitutional Court shall fix appropriate right for the person in respect of the violation found concerning his other rights ... The right shall be paid from the State budget within a term of three months from the date when the party lodged a request for its payment.",M7,,,
1022,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats. On 21 December 1994 the applicant was charged with uttering threats.,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats. On 21 December 1994 the applicant was charged with uttering threats.,M1,,,
1023,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats. On 21 December 1994 the applicant was charged with uttering threats.,On 28 September 1994 the Białystok District Prosecutor started criminal proceedings against the candidate on charges of having made attacks . On 21 December 1994 the student was arrested with making attacks .,M2,,,
1024,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats. On 21 December 1994 the applicant was charged with uttering threats.,On 28 September 1994 the Białystok District Prosecutor started criminal proceedings against the defendant on suspicion of having made threats . On 21 December 1994 the student was charged with making threats .,M3,,,
1025,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats. On 21 December 1994 the applicant was charged with uttering threats.,On 28 September 1994 the Białystok District Prosecutor started criminal proceedings against the applicant. On 21 December 1994 the applicant was charged with uttering threats against the government.,M4,,,
1026,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats. On 21 December 1994 the applicant was charged with uttering threats.,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats . On 21 December 1994 the applicant was charged with uttering threats .,M5,,,
1027,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats. On 21 December 1994 the applicant was charged with uttering threats.,On 28 September 1994 the BiaÅystok District Prosecutor had criminal case against the latter on suspicion of having spread threats. On 21 December 1994 the latter was charged with the threats.,M6,,,
1028,On 28 September 1994 the Białystok District Prosecutor instituted criminal proceedings against the applicant on suspicion of having uttered threats. On 21 December 1994 the applicant was charged with uttering threats.,On 28 September 1994 the BiaÅystok District. Prosecutor had criminal case against the latter on suspicion of having spread threats. On 21 December 1994 the latter was charged with the threats.,M7,,,
1029,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review.,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review.,M1,,,
1030,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review.,Decisions of the President of the Republic on matters within his own authority and those of the Supreme Military Council shall not be open to any action .,M2,,,
1031,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review.,Decisions of the President of the Republic concerning matters within his sole authority and decisions of the Supreme Military Council shall not be subject to further review .,M3,,,
1032,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review.,"The decisions of the President of the Republic shall be subject to judicial review, and decisions of the Supreme Military Council shall not be subject to judicial review.",M4,,,
1033,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review.,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review .,M5,,,
1034,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review.,Decisions of the President of the Republic concerning matters within his sole office and decisions of the Supreme Military Council shall not be subject to the review.,M6,,,
1035,Decisions of the President of the Republic concerning matters within his sole jurisdiction and decisions of the Supreme Military Council shall not be subject to judicial review.,Decisions of the President of the Republic concerning matters within his sole office decisions of the Supreme Military. Council shall not be subject to the review.,M7,,,
1036,"According to Section 40, subsection 1.3, of the Aliens Act (ulkomaalaislaki, utlänningslag 378/1991), an alien can be expelled from Finland, inter alia, if he or she has committed an offence for which the minimum penalty is more than one year’s imprisonment, or if he or she has repeatedly committed criminal offences.","According to Section 40, subsection 1.3, of the Aliens Act (ulkomaalaislaki, utlänningslag 378/1991), an alien can be expelled from Finland, inter alia, if he or she has committed an offence for which the minimum penalty is more than one year’s imprisonment, or if he or she has repeatedly committed criminal offences.",M1,,,
1037,"According to Section 40, subsection 1.3, of the Aliens Act (ulkomaalaislaki, utlänningslag 378/1991), an alien can be expelled from Finland, inter alia, if he or she has committed an offence for which the minimum penalty is more than one year’s imprisonment, or if he or she has repeatedly committed criminal offences.","According to Section 40 , section 1.3 , of the Aliens Act ( swedish , act 378/1991 ) , an alien can be deported from Finland , pro country , if he or she has done an act for which the minimum sentence is more than one year ’ s prison , or if he or she has not made such acts .",M2,,,
1038,"According to Section 40, subsection 1.3, of the Aliens Act (ulkomaalaislaki, utlänningslag 378/1991), an alien can be expelled from Finland, inter alia, if he or she has committed an offence for which the minimum penalty is more than one year’s imprisonment, or if he or she has repeatedly committed criminal offences.","According to Section 40 , section 1.3 , of the Aliens Act ( ulkomaalaislaki , utlänningslag 378/1991 ) , an alien can be expelled from Finland , pro country , if he or she has committed an offence for which the minimum penalty is more than one year ’ s imprisonment , or if he or she has repeatedly committed criminal acts .",M3,,,
1039,"According to Section 40, subsection 1.3, of the Aliens Act (ulkomaalaislaki, utlänningslag 378/1991), an alien can be expelled from Finland, inter alia, if he or she has committed an offence for which the minimum penalty is more than one year’s imprisonment, or if he or she has repeatedly committed criminal offences.","According to Section 40, subsection 1.3, of the Aliens Act (ulkomaalaislaki, utlänningslag 378/1991), an alien can be removed from Finland if he or she has committed a crime for which the minimum penalty is more than one year in prison, or if he or she has been a criminal in Finland for a long time.",M4,,,
1040,"According to Section 40, subsection 1.3, of the Aliens Act (ulkomaalaislaki, utlänningslag 378/1991), an alien can be expelled from Finland, inter alia, if he or she has committed an offence for which the minimum penalty is more than one year’s imprisonment, or if he or she has repeatedly committed criminal offences.","According to Section 40 , subsection 1.3 , of the Aliens Act ( ulkomaalaislaki , utlänningslag 378/1991 ) , an alien can be expelled from Finland , inter alia , if he or she has committed an offense for which the minimum penalty is more than one year ’ s imprisonment , or if he or she has repeatedly perpetrated illegal crimes .",M5,,,
1041,"According to Section 40, subsection 1.3, of the Aliens Act (ulkomaalaislaki, utlänningslag 378/1991), an alien can be expelled from Finland, inter alia, if he or she has committed an offence for which the minimum penalty is more than one year’s imprisonment, or if he or she has repeatedly committed criminal offences.","According to Section 40, 41 1.3, of the Aliens Act (ulkomaalaislaki, utlÃ¤nningslag 378/1991), an alien can be expelled from Finland, year time, if he or she has committed an offence for which the minimum penalty is more than one yearâs imprisonment, or if he or she has repeatedly committed criminal criminal.",M6,,,
1042,"According to Section 40, subsection 1.3, of the Aliens Act (ulkomaalaislaki, utlänningslag 378/1991), an alien can be expelled from Finland, inter alia, if he or she has committed an offence for which the minimum penalty is more than one year’s imprisonment, or if he or she has repeatedly committed criminal offences.","According to Section 40, 41 1.3, of the Aliens Act (ulkomaalaislaki, utlÃ¤nningslag 378/1991), an alien can be expelled from Finland, year time, if He or she committed an offence for which the penalty is more than one yearâs imprisonment, or if he or she repeatedly committed criminal.",M7,,,
1043,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.",M1,,,
1044,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is possible that , if a given package of care fails to meet [ the child 's ] basic physical and social needs , he will likely face a high risk of death . At this time however I believe that a long term care order , with a stable foster home and an appropriate care package should be considered if an application to a prison order were felt suitable .",M2,,,
1045,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is possible that , if a given package of care fails to meet [ the child 's ] complex educational and emotional needs , he will potentially pose a high risk of reoffending . At this time however I believe that a long term care order , with a stable foster placement and an appropriate educational package should be considered if an alternative to a prison sentence were felt viable .",M3,,,
1046,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is possible that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. If an alternative to a custodial sentence were felt viable, I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered.",M4,,,
1047,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is possible that , if a coordinated package of care fails to meet [ the applier 's ] simple educational and lyrical needs , he will potentially pose a high risk of reoffending . At this time however I believe that a long term care order , with a stable foster placement and an apt educational package should be considered if an alternative to a custodial sentence were felt workable .",M5,,,
1048,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is true that, if a new package of care fails to meet [the man's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a long sentence were felt viable.",M6,,,
1049,"It is conceivable that, if a coordinated package of care fails to meet [the applicant's] complex educational and emotional needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and an appropriate educational package should be considered if an alternative to a custodial sentence were felt viable.","It is true that, if a new package of. Care fails to meet [the man's] complex educational and needs, he will potentially pose a high risk of reoffending. At this time however I believe that a long term care order, with a stable foster placement and appropriate educational package should be considered if an alternative to a long sentence were felt viable.",M7,,,
1050,"In 1995 Pesterzsébeti Papírgyár Kft. filed a motion for the protection of possessions with the Pesterzsébet Municipality. On 8 November 1995 the motion was rejected. Subsequently, on 23 August 1995 the complainant brought an action in trespass against Castell Ltd., which claimed to be the successor of the applicant company, and other defendants, including the applicant company itself.","In 1995 Pesterzsébeti Papírgyár Kft. filed a motion for the protection of possessions with the Pesterzsébet Municipality. On 8 November 1995 the motion was rejected. Subsequently, on 23 August 1995 the complainant brought an action in trespass against Castell Ltd., which claimed to be the successor of the applicant company, and other defendants, including the applicant company itself.",M1,,,
1051,"In 1995 Pesterzsébeti Papírgyár Kft. filed a motion for the protection of possessions with the Pesterzsébet Municipality. On 8 November 1995 the motion was rejected. Subsequently, on 23 August 1995 the complainant brought an action in trespass against Castell Ltd., which claimed to be the successor of the applicant company, and other defendants, including the applicant company itself.","In 1995 the bank co . brought a petition for the protection of rights with the Pesterzsébet Municipality . On 8 November 1995 the appeal was dismissed . then , on 23 August 1995 the court took an action in court against Castell Ltd. , which happened to be the name of the original company , and other companies , including the parent company itself .",M2,,,
1052,"In 1995 Pesterzsébeti Papírgyár Kft. filed a motion for the protection of possessions with the Pesterzsébet Municipality. On 8 November 1995 the motion was rejected. Subsequently, on 23 August 1995 the complainant brought an action in trespass against Castell Ltd., which claimed to be the successor of the applicant company, and other defendants, including the applicant company itself.","In 1995 Pesterzsébeti Papírgyár Kft . made a motion for the protection of possessions with the Pesterzsébet Municipality . On 8 November 1995 the motion was rejected . Subsequently , on 23 August 1995 the court brought an action in trespass against Castell Ltd. , which claimed to be the successor of the original company , and other companies , including the parent company itself .",M3,,,
1053,"In 1995 Pesterzsébeti Papírgyár Kft. filed a motion for the protection of possessions with the Pesterzsébet Municipality. On 8 November 1995 the motion was rejected. Subsequently, on 23 August 1995 the complainant brought an action in trespass against Castell Ltd., which claimed to be the successor of the applicant company, and other defendants, including the applicant company itself.","In 1995 Pesterzsébeti Papírgyár Kft. filed a motion for the protection of possessions with the Pesterzsébet Municipality. On 8 November 1995 the motion was rejected. On 23 August 1995 the complainant brought an action in trespass against Castell Ltd., which claimed to be the successor of the applicant company, and other defendants, including the applicant company itself.",M4,,,
1054,"In 1995 Pesterzsébeti Papírgyár Kft. filed a motion for the protection of possessions with the Pesterzsébet Municipality. On 8 November 1995 the motion was rejected. Subsequently, on 23 August 1995 the complainant brought an action in trespass against Castell Ltd., which claimed to be the successor of the applicant company, and other defendants, including the applicant company itself.","In 1995 Pesterzsébeti Papírgyár Kft . filed a motion for the protection of possessions with the Pesterzsébet Municipality . On 8 November 1995 the motion was scorned . Subsequently , on 23 August 1995 the litigant brought an action in trespass against Castell Ltd. , which asserted to be the successor of the applicant company , and other litigants , including the applicant company itself .",M5,,,
1055,"In 1995 Pesterzsébeti Papírgyár Kft. filed a motion for the protection of possessions with the Pesterzsébet Municipality. On 8 November 1995 the motion was rejected. Subsequently, on 23 August 1995 the complainant brought an action in trespass against Castell Ltd., which claimed to be the successor of the applicant company, and other defendants, including the applicant company itself.","In 1995 PesterzsÃ©beti PapÃ­rgyÃ¡r Kft. Was a motion for the protection of possessions with the PesterzsÃ©bet Municipality. On 8 November 1995 the motion was rejected. Subsequently, on 23 August 1995 the mother brought an action in trespass against Castell Ltd., which claimed to be the successor of the new company, and other people, including the new company itself.",M6,,,
1056,"In 1995 Pesterzsébeti Papírgyár Kft. filed a motion for the protection of possessions with the Pesterzsébet Municipality. On 8 November 1995 the motion was rejected. Subsequently, on 23 August 1995 the complainant brought an action in trespass against Castell Ltd., which claimed to be the successor of the applicant company, and other defendants, including the applicant company itself.","In 1995 PesterzsÃ©beti PapÃ­rgyÃ¡r Kft. Was a Motion for the protection of possessions with the PesterzsÃ©bet Municipality. On 8 November 1995 the motion was rejected. Subsequently, on 23 August 1995 the mother brought an action in trespass against Castell Ltd., which claimed against Castell Ltd. to be the successor the new company, and other people, including the new itself.",M7,,,
1057,"On 5 November 2002 the Frankfurt Regional Court, upon the applicant’s appeal, scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the applicant withdrew his appeal. He submitted that he had suffered mentally and physically from the length of the proceedings against him. Therefore he would not have been able to attend the hearings.","On 5 November 2002 the Frankfurt Regional Court, upon the applicant’s appeal, scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the applicant withdrew his appeal. He submitted that he had suffered mentally and physically from the length of the proceedings against him. Therefore he would not have been able to attend the hearings.",M1,,,
1058,"On 5 November 2002 the Frankfurt Regional Court, upon the applicant’s appeal, scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the applicant withdrew his appeal. He submitted that he had suffered mentally and physically from the length of the proceedings against him. Therefore he would not have been able to attend the hearings.","On 5 November 2002 the Frankfurt Regional Court , upon the candidate ’ s request , scheduled eight months for the period between 10 December 2002 and 22 January 2003 . On 29 November 2002 the submitted his his as . He that that he had mental and and in from the length of the on against him . it he would not have been able to all the because .",M2,,,
1059,"On 5 November 2002 the Frankfurt Regional Court, upon the applicant’s appeal, scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the applicant withdrew his appeal. He submitted that he had suffered mentally and physically from the length of the proceedings against him. Therefore he would not have been able to attend the hearings.","On 5 November 2002 the Frankfurt Regional Court , upon the defendant ’ s appeal , scheduled eight months for the period between 10 December 2002 and 22 January 2003 . On 29 November 2002 the lost the his appeal . He submitted that he had suffered mentally and physically from the length of the on against him . Therefore he would not have been able to attend the because .",M3,,,
1060,"On 5 November 2002 the Frankfurt Regional Court, upon the applicant’s appeal, scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the applicant withdrew his appeal. He submitted that he had suffered mentally and physically from the length of the proceedings against him. Therefore he would not have been able to attend the hearings.",On 5 November 2002 the Frankfurt Regional Court scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. The applicant withdrew his appeal on 29 November 2002. He submitted that he had suffered from the length of the proceedings against him mentally and physically. He would not have been able to attend the hearings.,M4,,,
1061,"On 5 November 2002 the Frankfurt Regional Court, upon the applicant’s appeal, scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the applicant withdrew his appeal. He submitted that he had suffered mentally and physically from the length of the proceedings against him. Therefore he would not have been able to attend the hearings.","On 5 November 2002 the Frankfurt Regional Court , upon the applicant ’ s appeal , scheduled eight proceedings for the period between 10 December 2002 and 22 January 2003 . On 29 November 2002 the applicant withdrew his appeal . He submitted that he had endured mentally and physically from the length of the proceedings against him . Therefore he would not have been able to attend the proceedings .",M5,,,
1062,"On 5 November 2002 the Frankfurt Regional Court, upon the applicant’s appeal, scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the applicant withdrew his appeal. He submitted that he had suffered mentally and physically from the length of the proceedings against him. Therefore he would not have been able to attend the hearings.","On 5 November 2002 the Frankfurt Regional Court, upon the timeâs appeal, scheduled eight time for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the time and his appeal. He submitted that he had suffered mentally and physically from the length of the case against him. Therefore he would not have been able to attend the time.",M6,,,
1063,"On 5 November 2002 the Frankfurt Regional Court, upon the applicant’s appeal, scheduled eight hearings for the period between 10 December 2002 and 22 January 2003. On 29 November 2002 the applicant withdrew his appeal. He submitted that he had suffered mentally and physically from the length of the proceedings against him. Therefore he would not have been able to attend the hearings.","On 5 November 2002 the Frankfurt Regional Court, upon the timeâs appeal, scheduled eight. Time for the period between 10 December 2002 and 22 January On 29 November 2002 the time and his appeal. submitted that he had suffered mentally and physically from length of the case against him. Therefore he would not have been able to attend the time.",M7,,,
1064,"“The tenant who fails to vacate the immovable property is under an obligation to pay the owner the agreed amount until the date when he leaves, together with other remaining damages”.","“The tenant who fails to vacate the immovable property is under an obligation to pay the owner the agreed amount until the date when he leaves, together with other remaining damages”.",M1,,,
1065,"“The tenant who fails to vacate the immovable property is under an obligation to pay the owner the agreed amount until the date when he leaves, together with other remaining damages”.","“ The owner who fails to recover the occupied property is under an agreement to pay the owner the agreed amount until the date when he leaves , together with other property property ” .",M2,,,
1066,"“The tenant who fails to vacate the immovable property is under an obligation to pay the owner the agreed amount until the date when he leaves, together with other remaining damages”.","“ The person who fails to recover the abandoned property is under an agreement to pay the owner the agreed amount until the date when he leaves , together with other remaining property ” .",M3,,,
1067,"“The tenant who fails to vacate the immovable property is under an obligation to pay the owner the agreed amount until the date when he leaves, together with other remaining damages”.","The tenant who does not leave the immovable property must pay the owner the agreed amount by the date when he leaves, together with any remaining damage to the property.",M4,,,
1068,"“The tenant who fails to vacate the immovable property is under an obligation to pay the owner the agreed amount until the date when he leaves, together with other remaining damages”.","“ The renter who flunks to leave the unmovable property is under an obligation to pay the owner the agreed amount until the date when he leaves , together with other remaining damages ” .",M5,,,
1069,"“The tenant who fails to vacate the immovable property is under an obligation to pay the owner the agreed amount until the date when he leaves, together with other remaining damages”.","âThe person who fails to let the real property is under an excuse to pay the owner the agreed amount until the date when he leaves, together with other remaining damagesâ.",M6,,,
1070,"“The tenant who fails to vacate the immovable property is under an obligation to pay the owner the agreed amount until the date when he leaves, together with other remaining damages”.",Âthe. Person who fails to let the real property is under an excuse to pay the owner the agreed amount until the date when he together with other remaining damagesâ.,M7,,,
